id 2gis;id родителя;Наименование;Емайл;Телефон1;Телефон2;Сайт;Соц. сети VK;Соц. сети одноклассники;Соц. сети Insagram;Соц. сети Facebook;Соц. сети youtube;Адрес;Долгота;Широта;geometry
70000001017822200;9711423567444680;Втормет;rogachev_av@kras.sgmk.ru;79233651322;;втормет24.рф;;;;;;Россия, Красноярский край, Минусинск, Городокская улица, 19;91.683298;53.731007;POINT(91.683298 53.731007)
70000001017822300;9711423567444680;Втормет;rogachev_av@kras.sgmk.ru;79029232530;;втормет24.рф;;;;;;Россия, Республика Хакасия, Усть-Абаканский район, село Ташеба, Вокзальная улица, 24;91.288623;53.671166;POINT(91.288623 53.671166)
70000001017822300;9711423567444680;Втормет;rogachev_av@kras.sgmk.ru;79509654502;79030773851;втормет24.рф;;;;;;Россия, Красноярская железная дорога, станция Черногорские Копи;91.283188;53.80852;POINT(91.283188 53.80852)
70000001029016700;70000001029016700;Втормет Регион;;79535883963;;;;;;;;Россия, Красноярский край, городской округ Минусинск, рабочий посёлок Зелёный Бор, улица Берег Енисея, 73;91.610687;53.624112;POINT(91.610687 53.624112)
70000001033266600;70000001033266600;Хакасская торгово-промышленная компания;xtpk@inbox.ru;73902305018;;lom19.ru;;;;;;Россия, Республика Хакасия, Черногорск, Базарная улица, 6;91.292944;53.818987;POINT(91.292944 53.818987)
70000001033266700;70000001033266600;Хакасская торгово-промышленная компания;xtpk@inbox.ru;73902305018;;lom19.ru;;;;;;Россия, Республика Хакасия, Абакан, улица Маршала Жукова, 44А;91.460309;53.730219;POINT(91.460309 53.730219)
70000001033266700;70000001033266600;Хакасская торгово-промышленная компания;xtpk@inbox.ru;73902305018;;lom19.ru;;;;;;Россия, Республика Хакасия, Абакан, Кирпичная улица, 17;91.514639;53.684836;POINT(91.514639 53.684836)
70000001033266700;70000001033266600;Хакасская торгово-промышленная компания;xtpk@inbox.ru;73902305018;;lom19.ru;;;;;;Россия, Республика Хакасия, рабочий посёлок Усть-Абакан, Оросительный переулок, 1;91.364459;53.827327;POINT(91.364459 53.827327)
70000001033266800;70000001033266600;Хакасская торгово-промышленная компания;xtpk@inbox.ru;73902305018;;lom19.ru;;;;;;Россия, Республика Хакасия, Абакан, Складская улица, 5;91.379658;53.707893;POINT(91.379658 53.707893)
70000001033296500;70000001033296500;ТПК-19;;79083271060;;;;;;;;Россия, Республика Хакасия, Абакан, Игарская улица, 8к2;91.390716;53.710015;POINT(91.390716 53.710015)
